Seed,Total Nodes,Neighbor %,Bizantine %,Protocol,Time,Infected Nodes,Total Messages
42,50,0.05,0.1,AntiEntropy,8.526,100.0,383
70,50,0.05,0.1,AntiEntropy,12.038,100.0,571
420,50,0.05,0.1,AntiEntropy,9.028,100.0,577
42,50,0.05,0.2,AntiEntropy,7.523,100.0,351
70,50,0.05,0.2,AntiEntropy,9.028,100.0,509
420,50,0.05,0.2,AntiEntropy,7.021,100.0,369
42,50,0.05,0.3,AntiEntropy,7.523,100.0,427
70,50,0.05,0.3,AntiEntropy,8.526,100.0,410
420,50,0.05,0.3,AntiEntropy,8.526,100.0,489
42,50,0.05,0.4,AntiEntropy,9.529,100.0,478
70,50,0.05,0.4,AntiEntropy,8.024,100.0,399
420,50,0.05,0.4,AntiEntropy,9.027,100.0,532
42,50,0.1,0.1,AntiEntropy,8.025,100.0,453
70,50,0.1,0.1,AntiEntropy,8.527,100.0,567
420,50,0.1,0.1,AntiEntropy,9.529,100.0,609
42,50,0.1,0.2,AntiEntropy,8.024,100.0,531
70,50,0.1,0.2,AntiEntropy,6.52,100.0,352
420,50,0.1,0.2,AntiEntropy,7.021,100.0,382
42,50,0.1,0.3,AntiEntropy,6.018,100.0,335
70,50,0.1,0.3,AntiEntropy,6.519,100.0,329
420,50,0.1,0.3,AntiEntropy,4.514,100.0,195
42,50,0.1,0.4,AntiEntropy,6.519,100.0,373
70,50,0.1,0.4,AntiEntropy,8.025,100.0,507
420,50,0.1,0.4,AntiEntropy,8.025,100.0,541
42,50,0.15,0.1,AntiEntropy,8.525,100.0,491
70,50,0.15,0.1,AntiEntropy,6.019,100.0,303
420,50,0.15,0.1,AntiEntropy,6.52,100.0,427
42,50,0.15,0.2,AntiEntropy,5.016,100.0,259
70,50,0.15,0.2,AntiEntropy,5.516,100.0,302
420,50,0.15,0.2,AntiEntropy,4.514,100.0,225
42,50,0.15,0.3,AntiEntropy,6.519,100.0,373
70,50,0.15,0.3,AntiEntropy,7.021,100.0,432
420,50,0.15,0.3,AntiEntropy,6.52,100.0,413
42,50,0.15,0.4,AntiEntropy,4.514,100.0,201
70,50,0.15,0.4,AntiEntropy,6.516,100.0,392
420,50,0.15,0.4,AntiEntropy,11.536,100.0,887
42,100,0.05,0.1,AntiEntropy,7.023,100.0,684
70,100,0.05,0.1,AntiEntropy,12.541,100.0,1773
420,100,0.05,0.1,AntiEntropy,8.528,100.0,868
42,100,0.05,0.2,AntiEntropy,13.544,100.0,2031
70,100,0.05,0.2,AntiEntropy,8.025,100.0,1030
420,100,0.05,0.2,AntiEntropy,9.53,100.0,1140
42,100,0.05,0.3,AntiEntropy,7.525,100.0,735
70,100,0.05,0.3,AntiEntropy,6.52,100.0,651
420,100,0.05,0.3,AntiEntropy,7.023,100.0,815
42,100,0.05,0.4,AntiEntropy,6.521,100.0,831
70,100,0.05,0.4,AntiEntropy,12.039,100.0,1619
420,100,0.05,0.4,AntiEntropy,8.026,100.0,902
42,100,0.1,0.1,AntiEntropy,7.024,100.0,752
70,100,0.1,0.1,AntiEntropy,7.023,100.0,788
420,100,0.1,0.1,AntiEntropy,7.023,100.0,721
42,100,0.1,0.2,AntiEntropy,7.023,100.0,931
70,100,0.1,0.2,AntiEntropy,5.519,100.0,572
420,100,0.1,0.2,AntiEntropy,6.019,100.0,661
42,100,0.1,0.3,AntiEntropy,8.527,100.0,1123
70,100,0.1,0.3,AntiEntropy,5.518,100.0,533
420,100,0.1,0.3,AntiEntropy,7.525,100.0,925
42,100,0.1,0.4,AntiEntropy,6.019,100.0,630
70,100,0.1,0.4,AntiEntropy,7.022,100.0,844
420,100,0.1,0.4,AntiEntropy,5.518,100.0,552
42,100,0.15,0.1,AntiEntropy,8.026,100.0,1081
70,100,0.15,0.1,AntiEntropy,6.521,100.0,812
420,100,0.15,0.1,AntiEntropy,6.02,100.0,640
42,100,0.15,0.2,AntiEntropy,6.02,100.0,635
70,100,0.15,0.2,AntiEntropy,6.521,100.0,823
420,100,0.15,0.2,AntiEntropy,5.518,100.0,627
42,100,0.15,0.3,AntiEntropy,6.02,100.0,609
70,100,0.15,0.3,AntiEntropy,8.528,100.0,1203
420,100,0.15,0.3,AntiEntropy,6.522,100.0,723
42,100,0.15,0.4,AntiEntropy,5.017,100.0,525
70,100,0.15,0.4,AntiEntropy,6.521,100.0,702
420,100,0.15,0.4,AntiEntropy,5.016,100.0,513
42,150,0.05,0.1,AntiEntropy,9.534,100.0,1826
70,150,0.05,0.1,AntiEntropy,15.053,100.0,3494
420,150,0.05,0.1,AntiEntropy,6.522,100.0,1016
42,150,0.05,0.2,AntiEntropy,13.549,100.0,2902
70,150,0.05,0.2,AntiEntropy,8.529,100.0,1578
420,150,0.05,0.2,AntiEntropy,9.031,100.0,1709
42,150,0.05,0.3,AntiEntropy,7.526,100.0,1212
